Id;MAT_1SEM_PROM;FIS_1SEM_PROM;ING_1SEM_PROM;ACTF_1SEM_A;ACTF_1SEM_R;OTRANS_1SEM_A;OTRANS_1SEM_R;OTRANS_1SEM_PROM;ESP_1SEM_A;ESP_1SEM_R;ESP_1SEM_PROM;INS_1SEM;PROM_1SEM;MAT_2SEM_PROM;FIS_2SEM_PROM;ING_2SEM_PROM;ACTF_2SEM_A;ACTF_2SEM_R;OTRANS_2SEM_A;OTRANS_2SEM_R;OTRANS_2SEM_PROM;ESP_2SEM_A;ESP_2SEM_R;ESP_2SEM_PROM;INS_2SEM;PROM_2SEM;INSC_AnO;PROM_AnO;GENERO;NOM_CARRERA;TIPO_CARRERA;nombre_nacionalidad;descripcion_situacion_egreso_postulante;nombre_comuna_EM;nombre_provincia_EM;nombre_region_EM;nombre_dependencia_EM;nombre_grupo_dependencia_EM;descripcion_rama_educacional_EM;nombre_secretaria_admision;numero_estado_civil;descripcion_trabajo_remunerado;numero_horario_trabajo;descripcion_proseguir_estudios;descripcion_jefe_familia;descripcion_fuente_financiamiento_estudio_superior;descripcion_fuente_financiamiento_estudio_superior2;inferior_ingreso_bruto_fam;superior_ingreso_bruto_fam;nombre_cobertura_salud;descripcion_viven_padres;descripcion_nivel_educacion_padre;descripcion_nivel_educacion_madre;descripcion_situacion_ocupacional_padre;descripcion_situacion_ocupacional_madre;descripcion_tipo_organismo_trabajan_padre;descripcion_tipo_organismo_trabajan_madre;descripcion_ocupacion_principal_padre;descripcion_ocupacion_principal_madre;descripcion_rama_actividad_padre;descripcion_rama_actividad_madre;horas_promedio_trabajo;cantidad_personas_grupo_familiar;cuantos_trabajan_grupo_familiar;cuantos_estudian_grupo_pre_basica;cuantos_estudian_grupo_basica;cuantos_estudian_grupo_media_1_3;cuantos_estudian_grupo_media_4;cuantos_estudian_grupo_superior;cuantos_estudian_grupo_otras;ptje_nem;ptje_leng;ptje_mate;ptje_hycs;ptje_cien;Rotulo_Titulo
849;55;57;64;;;;;;1;3;47;7;52;42;;68;;;2;;61;;2;28;6;48;13;50;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;CARTAGENA;SAN ANTONIO;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;San Antonio;soltero(a);No;0;Con sus padres;Padre del postulante;Beca;Préstamo;0;278000;Otro;Ambos viven;Media completa;Media incompleta;Otra situación;Dueno de casa;Independiente;Dueno de casa;Oficios artesanales& talleres de joyeros& mueblista& sastre& modista&  peluquero& etc.;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;3;1;0;0;0;1;0;0;599;510;506;512;483;NO
850;68;60;61;;;;;;4;;68;7;66;78;;75;;;1;1;55;4;;71;8;68;15;67;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Otras fuentes;0;278000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Dueno de casa;Sin datos;Dueno de casa.;0;5;1;1;0;0;1;0;0;496;537;547;531;501;SI
851;;55;;;;2;;71;1;;77;4;68;23;;55;1;;;;;3;;62;6;53;10;60;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;OVALLE;LIMARI;REGION DE COQUIMBO;Municipal;Municipal ;Técnico profesional industrial.;Ovalle;soltero(a);No;0;Con familiares;Sin Datos;Padres del Postulante;Otros familiares;0;135000;Fonasa;Sin Datos;Media completa;Media completa;Activo& tiene trabajo remunerado;Cesante;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;3;0;0;1;0;1;0;0;580;502;554;0;518;NO
852;21;;;1;;;2;11;1;3;33;8;25;;;;;;;;;;;;;;8;25;M;Técnico Universitario en Mecánica Industrial;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Quilpue;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Padres del Postulante;144001;288000;Fonasa;Ambos viven;Media incompleta;Instituto profesional incompleta;Otra situación;Activo& tiene trabajo remunerado;Otro;Privado o particular;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Sin datos;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;0;4;1;0;0;0;0;0;1;599;525;553;548;329;NO
853;12;;66;;;;4;19;2;4;49;14;37;;;;;;;;;;;;;;14;37;F;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;CALERA;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional agrícola;Quillota;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Beca;0;278000;Fonasa;Ambos viven;Media completa;Universitaria incompleta;Sin Datos;Activo& tiene trabajo remunerado;Sin Datos;Privado o particular;Sin Datos;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Comercio al por mayor y menor. Bancos y seguros;Comercio al por mayor y menor. Bancos y seguros;0;6;1;2;1;1;0;0;0;560;559;524;519;0;NO
855;41;32;86;;1;;;;;3;27;7;40;;;;;;;;;;;;;;7;40;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional industrial.;Valparaíso;soltero(a);Ocasionalmente;1;En forma independiente;Padre del postulante;Trabajo personal;Trabajo personal;0;278000;Fonasa;Ambos viven;Media incompleta;Básica incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Sin Datos;Sin Datos;Sin datos;Sin datos;45;7;3;0;2;2;0;0;0;417;671;547;0;561;NO
856;;77;;;;2;;71;2;;83;5;77;84;;70;1;;1;;63;3;;81;7;77;12;77;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico nocturno.;Vina del Mar;soltero(a);No;0;Con sus padres;Padre del postulante;Préstamo;Sin Datos;540001;675000;Fonasa;Ambos viven;Media incompleta;Centro de formación técnica completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;5;1;0;0;0;1;3;0;541;579;608;0;658;SI
858;93;;59;;;2;;60;3;;72;7;70;94;89;61;;;;;;3;;62;6;72;13;71;M;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Préstamo;0;144000;Isapre;Ambos viven;Básica incompleta;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;4;1;0;1;0;0;0;1;558;581;652;0;660;NO
859;13;;83;1;;1;1;51;1;1;49;7;49;43;;85;1;;1;;55;;;;4;61;11;53;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con familiares;Abuelo(a);Otras fuentes;Beca;135001;270000;Fonasa;Ambos viven;Centro de formación técnica incompleta;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;3;0;0;0;0;1;0;1;517;564;570;618;0;NO
860;45;55;71;1;;1;;68;3;;68;8;63;73;;64;1;;;;;5;;71;8;71;16;67;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;SAN ANTONIO;SAN ANTONIO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;San Antonio;soltero(a);No;0;En pensión;Madre del postulante;Padres del Postulante;Otros familiares;0;278000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Trabaja sólo ocasionalmente;Independiente;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Comercio al por mayor y menor. Bancos y seguros;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;0;2;0;0;0;0;1;0;0;682;536;528;0;525;SI
861;24;67;97;1;;1;1;57;1;;55;7;59;18;;63;1;;1;;61;3;1;68;8;59;15;59;M;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILLOTA;QUILLOTA;REGION DE VALPARAISO;Municipal;Municipal ;Técnico profesional servicios y técnica;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;278001;834000;Otro;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Independiente;Independiente;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Comercio al por mayor y menor. Bancos y seguros;0;4;2;0;1;0;0;0;0;499;564;529;609;0;NO
863;73;;68;1;;1;;77;3;;90;7;82;72;70;83;1;;1;;65;3;;84;8;77;15;79;M;Técnico Universitario en Matricería para Plásticos y Metales;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;RENGO;CACHAPOAL;REGION DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;Municipal;Municipal ;Técnico profesional industrial.;Rancagua;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Básica incompleta;Básica incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Dueno de casa;Agricultura& ganadería& pesca y caza.;Dueno de casa.;0;5;1;0;0;0;1;0;0;621;451;531;0;483;SI
864;60;44;83;;;;;;;4;44;7;52;65;66;63;;;2;;67;;;;5;65;12;58;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;NOGALES;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Ambos viven;Media incompleta;Básica incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Dueno de casa;Explotación de minas y canteras;Dueno de casa.;0;4;1;0;0;1;1;0;0;682;536;471;0;529;SI
865;84;78;82;1;;;;;3;;84;7;83;68;;73;;;1;;85;4;;85;7;81;14;82;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Padres del Postulante;278001;834000;Fonasa;Ambos viven;Media completa;Media incompleta;Trabaja sólo ocasionalmente;Dueno de casa;Privado o particular;Dueno de casa;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;6;1;0;0;0;1;1;0;621;683;609;0;580;SI
866;64;;65;;;2;;66;3;;66;7;66;56;34;84;;;;;;3;;69;6;64;13;65;F;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional marítima.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Beca;0;278000;Fonasa;Ambos viven;Media completa;Universitaria incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Privado o particular;Fiscal o semifiscal;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Comercio al por mayor y menor. Bancos y seguros;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;0;4;1;0;1;1;1;0;0;601;546;534;0;485;SI
867;64;74;83;;;;;;4;;67;7;70;68;;72;;;2;;67;3;1;55;8;62;15;66;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;QUILLOTA;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Beca;0;278000;Otro;Ambos viven;Básica completa;Básica incompleta;Jubilado o pensionado (no reincorporado);Dueno de casa;Otro;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Servicios jurídicos& de orden y seguridad& Ministerio de Interior&  Justicia y Defensa& servicios jurídicos públicos y privados. FF.AA. y  Carabineros.;Dueno de casa.;0;6;0;0;0;0;2;0;0;703;521;540;506;0;SI
868;;64;;;;2;;76;2;;80;5;75;82;;81;1;;1;;79;3;;85;7;83;12;79;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;CALLE LARGA;LOS ANDES;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;San Felipe;soltero(a);No;0;Otros;Padre del postulante;Padres del Postulante;Padres del Postulante;270001;405000;Fonasa;Ambos viven;Media completa;Media completa;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;5;1;0;2;0;1;0;0;661;464;612;431;534;NO
869;55;;69;1;;1;;57;2;1;55;7;58;58;37;76;1;;1;;71;1;1;57;7;59;14;59;F;Técnico Universitario en Matricería para Plásticos y Metales;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SAN ANTONIO;SAN ANTONIO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;San Antonio;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Media incompleta;Básica completa;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;4;1;0;1;0;1;0;0;579;557;441;501;0;SI
871;;64;;;;2;;80;;1;34;4;64;56;;61;1;;;;;2;1;56;6;57;10;60;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional industrial.;Vina del Mar;soltero(a);No;0;En forma independiente;Padre del postulante;Beca;Beca;288001;432000;Fonasa;Ambos viven;Instituto profesional incompleta;Instituto profesional completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Dueno de casa;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;Dueno de casa.;0;5;1;0;1;0;1;1;0;825;571;571;473;448;NO
872;;;93;;;2;;76;2;;67;5;75;;;93;1;;;1;45;5;;71;8;71;13;73;M;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;Santiago;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Préstamo;1950001;2500000;Isapre;Ambos viven;Universitaria completa;Centro de formación técnica completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Profesional con cinco o más anos de estudios  universitarios;Dueno de casa;Servicios de salud públicos y privados. Ministerio de Salud e  instituciones de salud.;Dueno de casa.;0;4;1;0;0;0;1;1;0;517;547;609;0;562;SI
873;63;63;78;1;;;;;3;;79;7;74;70;;75;;;1;;73;4;;78;7;76;14;75;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SAN FELIPE;SAN FELIPE DE ACONCAGUA;REGION DE VALPARAISO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;San Felipe;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Sin Datos;135001;270000;Fonasa;Ambos viven;Básica incompleta;Media incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;0;4;1;0;1;0;1;0;0;641;452;523;473;0;NO
874;56;52;57;1;;;1;52;2;;77;7;62;23;;55;1;;;1;24;2;1;44;7;39;14;50;M;Técnico Universitario en Proyecto y Diseno Mecánico;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;LIMACHE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Beca;Préstamo;0;278000;Isapre;Ambos viven;Media completa;Centro de formación técnica completa;Activo& tiene trabajo remunerado;Dueno de casa;Fiscal o semifiscal;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Servicios de utilidad pública& fiscales y privados. Agua& luz& gas&  Servicios Sanitarios& Municipalidades& etc;Dueno de casa.;0;5;1;0;0;1;1;0;0;417;484;528;440;0;NO
876;;55;;;;2;;82;2;;84;5;77;58;;68;1;;1;;84;3;;79;7;75;12;76;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional comercial.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Otras fuentes;0;278000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Dueno de casa;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;Dueno de casa.;0;5;1;1;1;0;0;0;0;519;553;562;473;0;SI
877;85;;61;1;;2;;67;2;;83;7;74;70;;72;1;;1;;55;1;1;63;6;64;13;70;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SAN ANTONIO;SAN ANTONIO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;San Antonio;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Sin Datos;432001;576000;Fonasa;Ambos viven;Centro de formación técnica completa;Media completa;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Fiscal o semifiscal;Privado o particular;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;6;2;0;1;0;1;0;0;661;515;594;0;437;SI
878;55;58;60;;;;;;4;;64;7;61;16;;55;;;2;;58;2;2;47;8;47;15;53;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Préstamo;Trabajo personal;0;278000;Otro;Ambos viven;Universitaria incompleta;Básica incompleta;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;4;2;0;0;0;0;1;0;499;589;587;681;0;SI
879;61;;;1;;2;;60;3;1;59;8;59;74;70;;;;;;;3;1;59;6;64;14;61;M;Técnico Universitario en Mecánica Industrial;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con sus padres;Abuelo(a);Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Sólo la madre;Instituto profesional incompleta;Instituto profesional incompleta;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;3;1;0;0;0;1;0;0;558;433;550;0;495;SI
880;23;31;68;;;;;;1;;67;4;47;;64;;1;;1;;64;2;;69;5;67;9;57;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;LOS ANGELES;BIOBIO;REGION DEL BIOBIO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Los Angeles;soltero(a);No;0;Con sus padres;Madre del postulante;Beca;Préstamo;0;278000;Fonasa;Ambos viven;Sin estudios;Básica incompleta;Otra situación;Activo& tiene trabajo remunerado;Otro;Privado o particular;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Agricultura& ganadería& pesca y caza.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;4;1;0;0;0;0;0;1;558;541;548;0;592;NO
881;50;60;100;;;;;;;4;39;7;52;66;;76;;;2;;62;1;;63;5;66;12;58;F;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Préstamo;135001;270000;Fonasa;Ambos viven;Básica incompleta;Instituto profesional incompleta;Jubilado o pensionado (no reincorporado);Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;4;0;0;0;0;1;0;0;517;507;546;0;513;NO
882;55;58;72;;;;;;4;;70;7;66;55;;71;;;2;;56;3;1;63;8;61;15;64;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Préstamo;Padres del Postulante;278001;834000;Isapre;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;4;1;0;1;0;0;0;0;517;523;562;492;564;SI
883;;36;;;;2;;82;2;;81;5;72;56;70;87;1;;1;;84;3;;81;8;77;13;75;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;ILLAPEL;CHOAPA;REGION DE COQUIMBO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Illapel;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Beca;0;278000;Otro;Ambos viven;Básica completa;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Agricultura& ganadería& pesca y caza.;Dueno de casa.;0;4;1;0;0;0;1;1;0;476;564;601;552;485;NO
